"taxonID","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","source"
"rinse-registry-checklist:taxon:00871fb3bf9c821107a8d924ea590834","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:00871fb3bf9c821107a8d924ea590834","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:00871fb3bf9c821107a8d924ea590834","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:009d4cd7e8b5b5320e254bc58c538b28","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:009d4cd7e8b5b5320e254bc58c538b28","ISO_3166-2:FR","France","FR","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:009d4cd7e8b5b5320e254bc58c538b28","ISO_3166-2:BE","Belgium","BE","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:009d4cd7e8b5b5320e254bc58c538b28","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:00a33b20bb4ba060b7d975d354fad9cc","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:00a33b20bb4ba060b7d975d354fad9cc","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:00a33b20bb4ba060b7d975d354fad9cc","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:00a33b20bb4ba060b7d975d354fad9cc","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:00abd3e555a50da4bffa7c24228a53f1","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:00abd3e555a50da4bffa7c24228a53f1","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:00abd3e555a50da4bffa7c24228a53f1","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:00abd3e555a50da4bffa7c24228a53f1","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:00b66f2b228419653ec7308c185fbb6c","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:00b66f2b228419653ec7308c185fbb6c","ISO_3166-2:FR","France","FR","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:00b66f2b228419653ec7308c185fbb6c","ISO_3166-2:BE","Belgium","BE","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:00b66f2b228419653ec7308c185fbb6c","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:00c551fdc94687816d4d9bc48e6732b2","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:00c551fdc94687816d4d9bc48e6732b2","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:00c551fdc94687816d4d9bc48e6732b2","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:00c551fdc94687816d4d9bc48e6732b2","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:00cfca253823be7cd6a604a4e1da301c","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:00cfca253823be7cd6a604a4e1da301c","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:00cfca253823be7cd6a604a4e1da301c","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:00cfca253823be7cd6a604a4e1da301c","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:00e6989433d31016dc6573db659c3ae3","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:00e6989433d31016dc6573db659c3ae3","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:00e6989433d31016dc6573db659c3ae3","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:00e6989433d31016dc6573db659c3ae3","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:00efe6c7f90af3f354e6d68be7af346b","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:00efe6c7f90af3f354e6d68be7af346b","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:00efe6c7f90af3f354e6d68be7af346b","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:00efe6c7f90af3f354e6d68be7af346b","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:00f66d8c233410b4531c9b2a4eff1623","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:00f66d8c233410b4531c9b2a4eff1623","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:00f66d8c233410b4531c9b2a4eff1623","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:00f66d8c233410b4531c9b2a4eff1623","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:00f9d14a13cd7344ab118af8cb4c39fe","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:00f9d14a13cd7344ab118af8cb4c39fe","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:00f9d14a13cd7344ab118af8cb4c39fe","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:00f9d14a13cd7344ab118af8cb4c39fe","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:010671441360a80abd3c60cb6acb57de","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:010671441360a80abd3c60cb6acb57de","ISO_3166-2:FR","France","FR","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:010671441360a80abd3c60cb6acb57de","ISO_3166-2:BE","Belgium","BE","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:010671441360a80abd3c60cb6acb57de","ISO_3166-2:NL","The Netherlands","NL","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:01106f26647db03bd0353ed8902e4799","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:01106f26647db03bd0353ed8902e4799","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:01106f26647db03bd0353ed8902e4799","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:01106f26647db03bd0353ed8902e4799","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:011f7f1ec82e89197ce5e32ca05d6e04","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:011f7f1ec82e89197ce5e32ca05d6e04","ISO_3166-2:FR","France","FR","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:011f7f1ec82e89197ce5e32ca05d6e04","ISO_3166-2:BE","Belgium","BE","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:011f7f1ec82e89197ce5e32ca05d6e04","ISO_3166-2:NL","The Netherlands","NL","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:012a4e1771c96a03b55e9be452e3ff5e","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:012a4e1771c96a03b55e9be452e3ff5e","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:012a4e1771c96a03b55e9be452e3ff5e","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:012a4e1771c96a03b55e9be452e3ff5e","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:012aeb7e78830b543d2e5b088db2a02f","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:012aeb7e78830b543d2e5b088db2a02f","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:012aeb7e78830b543d2e5b088db2a02f","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:012aeb7e78830b543d2e5b088db2a02f","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:012e3fdd65a5e04d64cc77f72ab1a6bf","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:012e3fdd65a5e04d64cc77f72ab1a6bf","ISO_3166-2:FR","France","FR","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:012e3fdd65a5e04d64cc77f72ab1a6bf","ISO_3166-2:BE","Belgium","BE","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:012e3fdd65a5e04d64cc77f72ab1a6bf","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:012fb82ec0e0f706d19037cacf072d10","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:012fb82ec0e0f706d19037cacf072d10","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:012fb82ec0e0f706d19037cacf072d10","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:012fb82ec0e0f706d19037cacf072d10","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:013b806ce397f7d1bce20183c423f7f8","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:013b806ce397f7d1bce20183c423f7f8","ISO_3166-2:FR","France","FR","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:013b806ce397f7d1bce20183c423f7f8","ISO_3166-2:BE","Belgium","BE","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:013b806ce397f7d1bce20183c423f7f8","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:013eb887e5a7d7d3be7e10c57158a240","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:013eb887e5a7d7d3be7e10c57158a240","ISO_3166-2:FR","France","FR","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:013eb887e5a7d7d3be7e10c57158a240","ISO_3166-2:BE","Belgium","BE","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:013eb887e5a7d7d3be7e10c57158a240","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:013f68d4365fbde890e2c965d5ae9edc","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:013f68d4365fbde890e2c965d5ae9edc","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:013f68d4365fbde890e2c965d5ae9edc","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:013f68d4365fbde890e2c965d5ae9edc","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:01562b2bc44e19aa97ed2215b8f3e5c8","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:01562b2bc44e19aa97ed2215b8f3e5c8","ISO_3166-2:FR","France","FR","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:01562b2bc44e19aa97ed2215b8f3e5c8","ISO_3166-2:BE","Belgium","BE","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:01562b2bc44e19aa97ed2215b8f3e5c8","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:015719edd92d40386cddf81b43d616e0","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:015719edd92d40386cddf81b43d616e0","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:015719edd92d40386cddf81b43d616e0","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:015719edd92d40386cddf81b43d616e0","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:016396aedbd72b16d6d02abaa7a99aa1","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:016396aedbd72b16d6d02abaa7a99aa1","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:016396aedbd72b16d6d02abaa7a99aa1","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:016396aedbd72b16d6d02abaa7a99aa1","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:0165d840e650c5f083699ed4ecf4a43a","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:0165d840e650c5f083699ed4ecf4a43a","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:0165d840e650c5f083699ed4ecf4a43a","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:0165d840e650c5f083699ed4ecf4a43a","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:0173bf837e1366cda479c997ae5b7c3e","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:0173bf837e1366cda479c997ae5b7c3e","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:0173bf837e1366cda479c997ae5b7c3e","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:0173bf837e1366cda479c997ae5b7c3e","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:01794ace909ca317d8779f6c1ae96dc3","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:01794ace909ca317d8779f6c1ae96dc3","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:01794ace909ca317d8779f6c1ae96dc3","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:01794ace909ca317d8779f6c1ae96dc3","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:01847a1b194a038656368cb5da42d365","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:01847a1b194a038656368cb5da42d365","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:01847a1b194a038656368cb5da42d365","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:01847a1b194a038656368cb5da42d365","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:0186e2ed8258af013d6aad1e27b3398f","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:0186e2ed8258af013d6aad1e27b3398f","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:0186e2ed8258af013d6aad1e27b3398f","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:0186e2ed8258af013d6aad1e27b3398f","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:0186ee26368e780c2fdd2bef4ca0aa78","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:0186ee26368e780c2fdd2bef4ca0aa78","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:0186ee26368e780c2fdd2bef4ca0aa78","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:0186ee26368e780c2fdd2bef4ca0aa78","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:018c1b1adab3ee41150141dd19d08b7e","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:018c1b1adab3ee41150141dd19d08b7e","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:018c1b1adab3ee41150141dd19d08b7e","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:018c1b1adab3ee41150141dd19d08b7e","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:018f0d9eaddfe09c7b0e3f8d1124398c","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:018f0d9eaddfe09c7b0e3f8d1124398c","ISO_3166-2:FR","France","FR","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:018f0d9eaddfe09c7b0e3f8d1124398c","ISO_3166-2:BE","Belgium","BE","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:018f0d9eaddfe09c7b0e3f8d1124398c","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:01abbcb799d7f7410548fff1518ee123","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:01abbcb799d7f7410548fff1518ee123","ISO_3166-2:FR","France","FR","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:01abbcb799d7f7410548fff1518ee123","ISO_3166-2:BE","Belgium","BE","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:01abbcb799d7f7410548fff1518ee123","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:01b5dec55bdd8c0c07cfb8d6f34e1b47","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:01b5dec55bdd8c0c07cfb8d6f34e1b47","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:01b5dec55bdd8c0c07cfb8d6f34e1b47","ISO_3166-2:BE","Belgium","BE","present","introduced",
